"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Tesla","TSLA","802115616768","251.51","United States"
"2","Xiaomi","XIACF","54215057408","2.21","China"
"3","Li Auto","LI","21872965632","20.46","China"
"4","Rivian","RIVN","17139409920","17.22","United States"
"5","VinFast Auto","VFS","10544516096","4.51","Vietnam"
"6","NIO","NIO","9951569920","4.69","China"
"7","XPeng","XPEV","8352513024","9","China"
"8","Lucid Motors","LCID","8282668544","3.59","United States"
"9","Zeekr","ZK","4649646080","18.78","China"
"10","Lotus Technology","LOT","4270204160","6.31","China"
"11","Yadea Group","1585.HK","3926232977","1.31175","China"
"12","Leapmotor","9863.HK","3716191306","3.18331","China"
"13","Polestar","PSNY","1764954496","0.8364","Sweden"
"14","Olectra Greentech","OLECTRA.NS","1721054989","20.9678","India"
"15","LiveWire Group","LVWR","1613257088","7.94","United States"
"16","Gogoro","GGR","491380512","1.5","Taiwan"
"17","Nikola","NKLA","437714112","9.68","United States"
"18","Hyliion","HYLN","391580992","2.25","United States"
"19","NWTN Inc.","NWTN","303358208","1.06","United Arab Emirates"
"20","Lion Electric","LEV","202531184","0.8953","Canada"
"21","Kandi Technologies Group","KNDI","169300192","1.938","China"
"22","NIU","NIU","157524944","2.03","China"
"23","Canoo","GOEV","153079584","2.15","United States"
"24","Cenntro Electric Group","CENN","53333824","1.73","United States"
"25","XOS","XOS","48893564","6.21","United States"
"26","REE Automotive","REE","43526952","4.02","Israel"
"27","Hyzon Motors","HYZN","39583516","0.16","United States"
"28","Workhorse Group","WKHS","31144090","1.66","United States"
"29","GreenPower Motor Company","GP","29802600","1.125","Canada"
"30","Mullen Automotive","MULN","22764730","1.42","United States"
"31","U Power","UCAR","19195332","7.8","China"
"32","Phoenix Motor","PEV","15119049","0.431","United States"
"33","Taiga Motors","TAIG.TO","7057364","0.22175","Canada"
"34","Faraday Future","FFIE","7055524","0.3964","United States"
"35","EZGO Technologies","EZGO","4393121","1.72","China"
"36","Arcimoto","FUV","4242586","0.38","United States"
"37","Lightning eMotors","ZEVY","4615","0.0007","United States"
