"2","Xiaomi","XIACF","55225163776","2.22","China"
"3","Li Auto","LI","21872783360","20.22","China"
"5","NIO","NIO","10909372416","4.865","China"
"7","XPeng","XPEV","7831285760","8.275","China"
"9","Zeekr","ZK","5944515584","24.01","China"
"10","Lotus Technology","LOT","5278540800","7.8","China"
"11","Yadea Group","1585.HK","4768879999","1.59328","China"
"12","Leapmotor","9863.HK","4081823410","3.49651","China"
"21","Kandi Technologies Group","KNDI","180831472","2.07","China"
"22","NIU","NIU","151317072","1.95","China"
"34","U Power","UCAR","12378774","5.0301","China"
"37","EZGO Technologies","EZGO","4580339","1.7933","China"
