"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Tesla","TSLA","567970955264","178.092","United States"
"2","Xiaomi","XIACF","55225163776","2.22","China"
"3","Li Auto","LI","21872783360","20.22","China"
"4","Rivian","RIVN","11655197696","11.71","United States"
"5","NIO","NIO","10909372416","4.865","China"
"6","VinFast Auto","VFS","10275642368","4.395","Vietnam"
"7","XPeng","XPEV","7831285760","8.275","China"
"8","Lucid Motors","LCID","6333126656","2.745","United States"
"9","Zeekr","ZK","5944515584","24.01","China"
"10","Lotus Technology","LOT","5278540800","7.8","China"
"11","Yadea Group","1585.HK","4768879999","1.59328","China"
"12","Leapmotor","9863.HK","4081823410","3.49651","China"
"13","Olectra Greentech","OLECTRA.NS","1721650337","20.9664","India"
"14","Polestar","PSNY","1654381056","0.784","Sweden"
"15","LiveWire Group","LVWR","1316612864","6.48","United States"
"16","Nikola","NKLA","677732352","0.4996","United States"
"17","NWTN Inc.","NWTN","595812672","2.0819","United Arab Emirates"
"18","Gogoro","GGR","376072480","1.53","Taiwan"
"19","Lion Electric","LEV","255330000","1.1287","Canada"
"20","Hyliion","HYLN","244520576","1.405","United States"
"21","Kandi Technologies Group","KNDI","180831472","2.07","China"
"22","NIU","NIU","151317072","1.95","China"
"23","Canoo","GOEV","142620400","2.08","United States"
"24","Hyzon Motors","HYZN","118046208","0.4786","United States"
"25","Workhorse Group","WKHS","68329200","0.1821","United States"
"26","XOS","XOS","59601336","7.57","United States"
"27","Cenntro Electric Group","CENN","55183552","1.79","United States"
"28","Fisker","FSR","52815864","0.08965","United States"
"29","REE Automotive","REE","41144880","3.8","Israel"
"30","Mullen Automotive","MULN","33381854","2.925","United States"
"31","GreenPower Motor Company","GP","30837556","1.16","Canada"
"32","Phoenix Motor","PEV","26098776","0.744","United States"
"33","Electra Meccanica","SOLO","25356840","0.2122","Canada"
"34","U Power","UCAR","12378774","5.0301","China"
"35","Faraday Future","FFIE","12281310","0.69","United States"
"36","Arrival","ARVL","9003799","0.49","United Kingdom"
"37","EZGO Technologies","EZGO","4580339","1.7933","China"
"38","Arcimoto","FUV","4242586","0.38","United States"
"39","Lightning eMotors","ZEVY","988368","0.1499","United States"
